INTEGRATED_NAME,ADDRESS,AREA,TREES_KIND,TREE_NAME,CONIFEROUS_DECIDUOUS,EVERGREEN_DECIDUOUS,SIZE_STRUCTURE,FLOWER_FRUIT,FLOWER,SEASON
회기로,"서울특별시 동대문구 청량리동 206-9",0.021741305586761694,"계수나무 버드나무 은행나무 피나무 느티나무 느릅나무 ",피나무,활엽수,낙엽수,교목,,봄,여름
회기로,"서울특별시 동대문구 청량리동 206-9",0.021741305586761694,"계수나무 버드나무 은행나무 피나무 느티나무 느릅나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
회기로,"서울특별시 동대문구 청량리동 206-9",0.021741305586761694,"계수나무 버드나무 은행나무 피나무 느티나무 느릅나무 ",버드나무,활엽수,낙엽수,교목,,봄,X
회기로,"서울특별시 동대문구 청량리동 206-9",0.021741305586761694,"계수나무 버드나무 은행나무 피나무 느티나무 느릅나무 ",계수나무,활엽수,낙엽수,교목,,봄,X
장한로,"서울특별시 동대문구 장안동 469-4",0.01828729174665348,"이팝나무 ",이팝나무,활엽수,낙엽수,교목,화목,봄,X
외대역동로,"서울특별시 동대문구 휘경동 361-1",0.009616367442984957,"양버즘나무 느티나무 백합나무 ",백합나무,활엽수,낙엽수,교목,,봄,X
외대역동로,"서울특별시 동대문구 휘경동 361-1",0.009616367442984957,"양버즘나무 느티나무 백합나무 ",느티나무,활엽수,낙엽수,교목,,여름,X
외대역동로,"서울특별시 동대문구 휘경동 361-1",0.009616367442984957,"양버즘나무 느티나무 백합나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
한천로63길,"서울특별시 동대문구 이문동 225",0.0012803989586267705,"느티나무 ",느티나무,활엽수,낙엽수,교목,,여름,X
서울시립대로,"서울특별시 동대문구 전농동 584-21",0.015070999217401845,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
홍릉로25길,"서울특별시 동대문구 청량리동 205-491",0.0013694055349826816,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
